https://www.dsfaisal.com/articles/sql/leetcode-sql-problem-solving

175. Combine Two Tables | Easy | LeetCode
176. Second Highest Salary | Easy | LeetCode
177. Nth Highest Salary | Medium | LeetCode
178. Rank Scores | Medium | LeetCode
180. Consecutive Numbers | Medium | LeetCode
181. Employees Earning More Than Their Managers | Easy | LeetCode
182. Duplicate Emails | Easy | LeetCode
183. Customers Who Never Order | Easy | LeetCode
184. Department Highest Salary | Medium | LeetCode
185. Department Top Three Salaries | Hard | LeetCode
196. Delete Duplicate Emails | Easy | LeetCode
197. Rising Temperature | Easy | LeetCode
262. Trips and Users | Hard | LeetCode
511. Game Play Analysis I | Easy | 🔒 LeetCode
512. Game Play Analysis II | Easy | 🔒 LeetCode
534. Game Play Analysis III | Medium | 🔒 LeetCode
550. Game Play Analysis IV | Medium | 🔒 LeetCode
569. Median Employee Salary | Hard | 🔒 LeetCode
570. Managers with at Least 5 Direct Reports | Medium | 🔒 LeetCode
571. Find Median Given Frequency of Numbers | 🔒 LeetCode
574. Winning Candidate | Medium | 🔒 LeetCode
577. Employee Bonus | Easy | 🔒 LeetCode
578. Get Highest Answer Rate Question | Medium | 🔒 LeetCode
579. Find Cumulative Salary of an Employee | Hard | 🔒 LeetCode
580. Count Student Number in Departments | Medium | 🔒 LeetCode
584. Find Customer Referee | Easy | 🔒 LeetCode
585. Investments in 2016 | Medium | 🔒 LeetCode
586. Customer Placing the Largest Number of Orders | Easy | 🔒 LeetCode
595. Big Countries | Easy | LeetCode
596. Classes More Than 5 Students | Easy | LeetCode
597. Friend Requests I: Overall Acceptance Rate | Easy | 🔒 LeetCode
601. Human Traffic of Stadium | Hard | LeetCode
602. Friend Requests II: Who Has the Most Friends | Medium | 🔒 LeetCode
603. Consecutive Available Seats | Easy | 🔒 LeetCode
607.Sales Person | Easy | 🔒 LeetCode
608. Tree Node | Medium | 🔒 LeetCode
610. Triangle Judgement | Easy | 🔒 LeetCode
612. Shortest Distance in a Plane | Medium | 🔒 LeetCode
613. Shortest Distance in a Line | Easy | 🔒 LeetCode
614. Second Degree Follower | Medium | 🔒 LeetCode
615. Average Salary: Departments VS Company | Hard | 🔒 LeetCode
618. Students Report By Geography | Hard | 🔒 LeetCode
619. Biggest Single Number | Easy | 🔒 LeetCode
620. Not Boring Movies | Easy | LeetCode
626. Exchange Seats | Medium | LeetCode
627. Swap Salary | LeetCode
1045. Customers Who Bought All Products | Medium | 🔒 LeetCode
1050. Actors and Directors Who Cooperated At Least Three Times | Easy | 🔒 LeetCode
1068. Product Sales Analysis I | Easy | 🔒 LeetCode
1069. Product Sales Analysis II | Easy | 🔒 LeetCode
1070. Product Sales Analysis III | Medium | 🔒 LeetCode
1075. Project Employees I | Easy | 🔒 LeetCode
1076. Project Employees II | Easy | 🔒 LeetCode
1077. Project Employees III | Medium | 🔒 LeetCode
1082. Sales Analysis I | Easy | 🔒 LeetCode
1083. Sales Analysis II | Easy | 🔒 LeetCode
1084. Sales Analysis III | Easy | 🔒 LeetCode
1097. Game Play Analysis V | Hard | 🔒 LeetCode
1098. Unpopular Books | Medium | 🔒 LeetCode
1107. New Users Daily Count | Medium | 🔒 LeetCode
1112. Highest Grade For Each Student | Medium | 🔒 LeetCode
1113.Reported Posts | Easy | 🔒 LeetCode
1126. Active Businesses | Medium | 🔒 LeetCode
1127. User Purchase Platform | Hard | 🔒 LeetCode
1132. Reported Posts II | Medium | 🔒 LeetCode
1141. User Activity for the Past 30 Days I | Easy | 🔒 LeetCode
1142. User Activity for the Past 30 Days II | Easy | 🔒 LeetCode
1148. Article Views I | Easy | 🔒 LeetCode
1149. Article Views II | Medium | 🔒 LeetCode
1158. Market Analysis I | Medium | 🔒 LeetCode
1159. Market Analysis II | Hard | 🔒 LeetCode
1164. Product Price at a Given Date | Medium | 🔒 LeetCode
1173. Immediate Food Delivery I | Easy | 🔒 LeetCode
1174. Immediate Food Delivery II | Medium | 🔒 LeetCode
1179. Reformat Department Table | Easy | LeetCode
1193. Monthly Transactions I | Medium | 🔒 LeetCode
1194. Tournament Winners | Hard | 🔒 LeetCode
1204. Last Person to Fit in the Elevator | Medium | 🔒 LeetCode
1205. Monthly Transactions II | Medium | 🔒 LeetCode
1211. Queries Quality and Percentage | Easy | 🔒 LeetCode
1212. Team Scores in Football Tournament | Medium | 🔒 LeetCode
1225. Report Contiguous Dates | Hard | 🔒 LeetCode
1241. Number of Comments per Post | Easy | 🔒 LeetCode
1251. Average Selling Price | Easy | 🔒 LeetCode
1264. Page Recommendations | Medium | 🔒 LeetCode
1270. All People Report to the Given Manager | Medium | 🔒 LeetCode
1280. Students and Examinations| Easy | 🔒 LeetCode
1285. Find the Start and End Number of Continuous Ranges | Medium | 🔒 LeetCode
1294. Weather Type in Each Country | Easy | 🔒 LeetCode
1303. Find the Team Size | Easy | 🔒 LeetCode
1308. Running Total for Different Genders | Medium | 🔒 LeetCode
1321. Restaurant Growth | Medium | 🔒 LeetCode
1322. Ads Performance | Easy | 🔒 LeetCode
1327. List the Products Ordered in a Period | Easy | 🔒 LeetCode
1336. Number of Transactions per Visit | Hard | 🔒 LeetCode
1341. Movie Rating | Medium | 🔒 LeetCode
1350. Students With Invalid Departments | Easy | 🔒 LeetCode
1355. Activity Participants | Medium | 🔒 LeetCode
1364. Number of Trusted Contacts of a Customer | Medium | 🔒 LeetCode
1369. Get the Second Most Recent Activity | Hard | 🔒 LeetCode
1378. Replace Employee ID With The Unique Identifier | Easy | 🔒 LeetCode
1384. Total Sales Amount by Year | Hard | 🔒 LeetCode
1393. Capital Gain/Loss | Medium | 🔒 LeetCode
1398. Customers Who Bought Products A and B but Not C | Medium | 🔒 LeetCode
1407. Top Travellers | Easy | 🔒 LeetCode
1412. Find the Quiet Students in All Exams | Hard | 🔒 LeetCode
1421. NPV Queries | Medium | 🔒 LeetCode
1435. Create a Session Bar Chart | Easy | 🔒 LeetCode
1440. Evaluate Boolean Expression | Medium | 🔒 LeetCode
1445. Apples & Oranges | Medium | 🔒 LeetCode
1454. Active Users | Medium | 🔒 LeetCode
1459. Rectangles Area | Medium | 🔒 LeetCode
1468. Calculate Salaries | Medium | 🔒 LeetCode
1479. Sales by Day of the Week | Hard | 🔒 LeetCode
1484. Group Sold Products By The Date | Easy | 🔒 LeetCode
1495. Friendly Movies Streamed Last Month | Easy | 🔒 LeetCode
1501. Countries You Can Safely Invest In | Medium | 🔒 LeetCode
1511. Customer Order Frequency | Easy | 🔒 LeetCode
1517. Find Users With Valid E-Mails | Easy | 🔒 LeetCode
1527. Patients With a Condition | Easy | 🔒 LeetCode
1532. The Most Recent Three Orders | Medium | 🔒 LeetCode
1543. Fix Product Name Format | Easy | 🔒 LeetCode
1549. The Most Recent Orders for Each Product | Medium | 🔒 LeetCode
1555. Bank Account Summary | Medium | 🔒 LeetCode
1565. Unique Orders and Customers Per Month | Easy | 🔒 LeetCode
1571. Warehouse Manager | Easy | 🔒 LeetCode
1581. Customer Who Visited but Did Not Make Any Transactions | Easy | 🔒 LeetCode
1587. Bank Account Summary II | Easy | 🔒 LeetCode
1596. The Most Frequently Ordered Products for Each Customer | Medium | 🔒 LeetCode
1607. Sellers With No Sales | Easy | 🔒 LeetCode
1613. Find the Missing IDs | Medium | 🔒 LeetCode
1623. All Valid Triplets That Can Represent a Country | Easy | 🔒 LeetCode
1633. Percentage of Users Attended a Contest | Easy | 🔒 LeetCode
1635. Hopper Company Queries I | Hard | 🔒 LeetCode
1645. Hopper Company Queries II | Hard | 🔒 LeetCode
1651. Hopper Company Queries III | Hard | 🔒 LeetCode
1661. Average Time of Process per Machine | Easy | 🔒 LeetCode
1667. Fix Names in a Table | Easy | 🔒 LeetCode
1677. Product's Worth Over Invoices | Easy | 🔒 LeetCode
1683. Invalid Tweets | Easy | 🔒 LeetCode
1693. Daily Leads and Partners | Easy | 🔒 LeetCode
1699. Number of Calls Between Two Persons | Medium | 🔒 LeetCode
1709. Biggest Window Between Visits | Medium | 🔒 LeetCode
1715. Count Apples and Oranges | Medium | 🔒 LeetCode
1729. Find Followers Count | Easy | 🔒 LeetCode
1731. The Number of Employees Which Report to Each Employee | Easy | 🔒 LeetCode
1741. Find Total Time Spent by Each Employee | Easy | 🔒 LeetCode
1747. Leetflex Banned Accounts | Medium | 🔒 LeetCode
1757. Recyclable and Low Fat Products | Easy | 🔒 LeetCode
1767. Find the Subtasks That Did Not Execute | Hard | 🔒 LeetCode
1777. Product's Price for Each Store | Easy | 🔒 LeetCode
