title,price,rating
Dead Space | Standard Edition | PlayStation 5,"4,499.",
Sony DualSense Wireless Controller for PlayStation 5 (White),"5,399.",4.4 out of 5 stars
Uncharted: Legacy of Thieves Collection | PS5 Game (PlayStation 5),"1,699.",4.4 out of 5 stars
Sony Marvel's Spider-Man: Miles Morales (PS5),"2,349.",4.5 out of 5 stars
PS5 Grand Theft Auto V,"2,099.",4.3 out of 5 stars
Far Cry 6 | Standard Edition | Playstation 5 (PS5),"1,724.",
Horizon Forbidden West | Standard Edition | PS5 Game (PlayStation 5),"2,399.",4.6 out of 5 stars
PlayStation 5 – The Best Hidden Features and Essential Tips and Tricks (Bonus: 27 Voice Commands),197.,2.0 out of 5 stars
Need For Speed Unbound | Standard Edition | Playstation 5 (PS5),"4,343.",4.4 out of 5 stars
Dorca® Dust Cover for Sony Playstation 5 Cover Disc & Digital Edition,275.,4.4 out of 5 stars
The Last Of Us : Part 1 | PS5 Game (PlayStation 5),"3,199.",4.7 out of 5 stars
Stucii PlayStations-Plus-Deluxe 12 Month Membership (Read Before Buying) (Single Access) [Email Delivery in Few Hrs],"2,372.",
Sony DualSense Edge Wireless Controller (PlayStation 5),"18,990.",4.3 out of 5 stars
PS5 Mortal Kombat 11: Ultimate,"1,599.",4.4 out of 5 stars
Star Wars Jedi : Survivor | Standard Edition | PlayStation 5,"4,499.",
Resident Evil 4 Remake | Standard Edition | PlayStation 5,"3,999.",
"PowerA Ultra High Speed HDMI 2.1 Cable for PlayStation 5, PS5 (Officially Licensed)","2,399.",4.7 out of 5 stars
PS5 WWE 2K22,"1,999.",
Dorca® Dust Cover for Sony Playstation 5 Cover Disc & Digital Edition,275.,4.4 out of 5 stars
WALLTON - PS5 Skin Protective Wrap Cover Vinyl Sticker Decals for PlayStation 5 Disk Version Console and Two Dual Sense 5 Sticker Batman - (Black),899.,
Marvel's Spider-Man: Miles Morales - Ultimate Edition (PS5),"3,690.",4.6 out of 5 stars
WALLTON - PS5 Skin Protective Wrap Cover Vinyl Sticker Decals for PlayStation 5 Disk Version Console and Two Dual Sense 5 Sticker Skins Black PS5 Skin - Avengers Logo,699.,
